Langtag,Lognrwords,COMPATIBLE,INCOMPATIBLE
hy,4,57909,292
hy,7,9354,13
hy,6,42616,27
hy,9,683,6
hy,8,2330,2
x-,1,0,36
x-,0,0,53
x-,3,0,10
x-,2,0,58
x-,4,0,4
hr,11,28,67
hr,10,249,221
hr,13,0,7
hr,12,2,17
hr,14,0,2
hr,1,510840,900230
hr,0,422148,346642
hr,3,115971,114350
hr,2,168677,406330
hr,5,246338,167086
hr,4,153228,127256
hr,7,66122,32150
hr,6,225804,135473
hr,9,2494,1340
hr,8,19867,8687
hs,1,0,2233
hs,0,0,1133
hs,3,0,4
hs,2,0,98
sy,1,0,1
sy,0,0,14
sy,2,0,1
ht,11,2,0
ht,10,2,4
ht,1,55407,123999
ht,0,312216,313473
ht,3,217386,2011
ht,2,41266,25844
ht,5,97555,111
ht,4,151953,198
ht,7,318,41
ht,6,2861,120
ht,9,34,10
ht,8,111,16
hu,11,59,16
hu,10,331,38
hu,12,6,4
hu,1,2411168,1184763
hu,0,936080,569878
hu,3,373775,74400
hu,2,706313,419101
hu,5,526042,3834
hu,4,556618,13278
hu,7,78030,409
hu,6,220734,1432
hu,9,2505,101
hu,8,20509,232
hi,11,221,21
hi,10,879,33
hi,13,18,27
hi,12,164,37
hi,1,1013597,187945
hi,0,210540,428312
hi,3,121840,22985
hi,2,207689,78111
hi,5,71696,3796
hi,4,129543,6269
hi,7,37440,557
hi,6,114935,2175
hi,9,3411,105
hi,8,15032,270
ho,0,0,4
hb,1,0,1
hb,3,0,1
hb,2,0,1
vl,1,0,2198
vl,0,0,1158
vl,3,0,7
vl,2,0,251
an,11,0,16
an,10,0,355
an,12,0,2
an,1,0,184871
an,0,0,122010
an,3,0,17835
an,2,0,87326
an,5,0,67786
an,4,0,9876
an,7,0,5808
an,6,0,20725
an,9,0,561
an,8,0,1627
he,11,0,25
he,10,0,119
he,12,0,2
he,1,0,3313222
he,0,0,118996
he,3,0,160753
he,2,0,424342
he,5,0,259746
he,4,0,170071
he,7,0,94273
he,6,0,347162
he,9,0,2804
he,8,0,29996
me,1,0,3
me,0,0,25
md,1,0,64
md,0,0,166
md,2,0,5
mg,10,8,0
mg,1,45259,105609
mg,0,4269,67331
mg,3,45074,2787
mg,2,5475,8870
mg,5,109416,568
mg,4,82701,6904
mg,7,928,6
mg,6,12372,30
mg,9,20,0
mg,8,132,8
mf,1,0,15
mf,0,0,20
mf,2,0,1
ma,1,0,198
ma,0,0,238
ma,3,0,1
ma,2,0,26
ew,1,0,8
ew,0,0,20
uz,11,54,0
uz,10,121,2
uz,13,2,0
uz,12,16,0
uz,1,628842,359615
uz,0,106885,335081
uz,3,140843,17076
uz,2,74058,129273
uz,5,22022,208
uz,4,149302,3006
uz,7,3584,21
uz,6,9825,67
uz,9,415,0
uz,8,1266,4
ml,11,7,0
ml,10,18,0
ml,1,356277,90028
ml,0,299110,59036
ml,3,32191,15802
ml,2,60718,58355
ml,5,105897,1147
ml,4,56218,4456
ml,7,7492,54
ml,6,24050,272
ml,9,109,2
ml,8,899,9
mo,1,0,1123
mo,0,0,209
mo,3,0,58
mo,2,0,673
mn,1,31519,2339
mn,0,1636,509
mn,3,421,7
mn,2,3226,618
mn,5,1,0
mn,4,9,2
mi,1,647,334081
mi,0,171,3065
mi,3,16,140
mi,2,142,1422
mi,4,6,12
ik,1,18,543
ik,0,29,217
ik,3,1,1
ik,2,4,6
mk,11,156,4
mk,10,216,27
mk,13,28,0
mk,12,115,2
mk,1,229835,3128064
mk,0,35535,303992
mk,3,97232,43865
mk,2,132689,330224
mk,5,128200,15158
mk,4,70893,16326
mk,7,29166,923
mk,6,94775,7196
